,0,1,2,3,4,5,6,7,8,9,10
3849,Rutgers the State University of New Jersey - New Brunswick,Public Health - PhD,"$25,000",0.97,2017-2018,,,"$25,000",,,
3850,University of Pittsburgh,ECE,"$18,500",0.89,2017-2018,1st,,,"$18,500",,
3851,University of Minnesota - Twin Cities (UM),"Biochemistry, molecular biology, and biophysics","$28,250",1.23,2017-2018,1st,,"$28,500",,,$250
3852,New York University (NYU),Physics,"$38,400",1.29,2017-2018,1st,MacCracken Fellowship (total: $38400/year),,"$27,900","$10,500",
3853,University of Oklahoma (OU),Geography &amp; ES,"$14,059",0.70,2016-2017,1st,,,"$14,059",,
3854,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,"$31,500",1.35,2017-2018,1st,,"$31,500",,,
3855,Emory University,Physics ,"$25,982",1.12,2017-2018,1st,,"$27,000",,,"$1,018"
3856,University of Texas - Austin (UT),Institute for Neuroscience,"$28,000",1.23,2016-2017,3rd,,"$28,000",,,
3857,University of Cincinnati (UC),Internal Medicine,"$48,474",2.51,2016-2017,3rd,,"$48,474",,,
3858,Arizona State University (ASU),Engineering ,"$30,000",1.35,2017-2018,1st,,"$30,000",,,
3859,Princeton University,Chemical Engineering,"$36,150",1.42,2017-2018,1st,,"$36,150",,,
3860,University of Florida (UF),,"$24,920",1.10,2017-2018,1st,,"$25,000",,,$80
3861,Yale University (YU),Comparative Literature,"$31,000",1.25,2017-2018,1st,,"$31,000",,,
3862,University of Pennsylvania,Psychology - Clinical,"$32,000",1.33,2017-2018,1st,,"$32,000",,,
3863,University of Notre Dame (ND),Philosophy,"$34,000",1.66,2017-2018,1st,,"$34,000",,,
3864,Mississippi State University (MSU),Anthropology,"$8,000",0.37,2016-2017,1st,"The university waives 71% in-state tuition and 100% out-of-state tuition. You have to pay for <span class=""truncated""> university fees and insurance yourself. The university reimburses you $200 for insurance under a TA/RA position. </span>",,"$9,000",,"$1,000"
3865,,,"$28,200",,2016-2017,,,,"$22,000","$7,000",$800
3866,University of Minnesota - Twin Cities (UM),"Ecology, Evolution and Behaviour","$24,116",1.05,2015-2016,4th,Includes international student fees,"$25,116",,,"$1,000"
3867,Indiana University- Purdue University - Indianapolis (IUPUI),School of Informatics,"$21,000",1.02,2017-2018,1st,,"$39,000",,,"$18,000"
